id,platforms
10073,"PlayStation 4, Nintendo Switch, PC, Xbox One"
11726,"Xbox One, Nintendo Switch, PlayStation 4, macOS, Linux, iOS, PC"
4954,"PlayStation 3, Xbox 360, Nintendo Switch, PC, macOS"
14348,"macOS, Xbox One, PlayStation 4, PC, Linux"
28172,"PlayStation 4, Xbox One, PC"
3931,"PlayStation 3, PC, Xbox One, PlayStation 4, Xbox 360, Linux"
3740,"Nintendo Switch, PlayStation 3, Xbox 360, PlayStation 4, PS Vita, iOS, PC, macOS, Linux"
13461,"Xbox One, Xbox 360, PC, Nintendo Switch, PlayStation 3, PlayStation 4"
4599,"PlayStation 3, Xbox 360, PC, Linux, Xbox One"
1244,"PC, macOS, Nintendo Switch, Linux, PS Vita, Xbox One, PlayStation 4"
3168,"PlayStation 4, Xbox One, PC, macOS, Linux"
59359,"PC, Xbox Series S/X, PlayStation 4, PlayStation 5, Xbox One, Nintendo Switch"
906,"Xbox 360, Xbox One, PlayStation 3, PC, PlayStation 4"
2572,"PlayStation 4, PC, macOS, Xbox One, Linux"
8146,"PlayStation 4, PC, Xbox One"
10548,"Xbox One, PC, Nintendo Switch, Wii U, PlayStation 4"
865,"iOS, Nintendo DS, PlayStation 3, macOS, PC, Xbox One, Wii, Xbox 360"
1682,"PS Vita, PlayStation 4, Xbox One, iOS, PC, Android, Xbox 360, macOS"
10419,"PlayStation 4, Xbox Series S/X, PC, macOS, Nintendo Switch, Xbox One, PlayStation 5"
5562,"Xbox 360, PC, Xbox One, PlayStation 3"
4639,"Xbox 360, Xbox One, macOS, PlayStation 3, PC"
15859,"Xbox 360, Xbox, Nintendo Switch, Xbox One, Android, iOS, PC, macOS"
6617,"PC, Xbox One"
10061,"Xbox One, PlayStation 4, PC"
16112,"Xbox One, PC, macOS, PlayStation 4"
28623,"PlayStation 3, Nintendo Switch, macOS, PlayStation 4, Xbox One, PC, Xbox 360"
492,"PC, PlayStation 4, PlayStation 3, Xbox One"
17126,"PC, PlayStation 4, Nintendo Switch, Xbox One, macOS, Linux"
3028,"PC, PlayStation 3, PlayStation 4"
28492,"PC, Xbox 360, PlayStation 3"
432,"macOS, PC, iOS, Android, PlayStation 4, PlayStation 2, Xbox"
1169,"macOS, PC, Xbox One, PlayStation 4"
